stock_code,name,name_abbr,tax_code,industry_code,company_type,industry
8085,福華電子股份有限公司,福華,11825450,31,上櫃,其他電子業
1417,嘉裕股份有限公司,嘉裕,11825825,4,上市,紡織纖維
4730,通用矽酮股份有限公司,通用,11846954,3,公開發行,塑膠工業
1707,葡萄王生技股份有限公司,葡萄王,11880517,22,上市,生技醫療業
1103,嘉新水泥股份有限公司,嘉泥,11892801,1,上市,水泥工業
1309,台達化學工業股份有限公司,台達化,11893409,3,上市,塑膠工業
1101,臺灣水泥股份有限公司,台泥,11913502,1,上市,水泥工業
1802,台灣玻璃工業股份有限公司,台玻,11914002,8,上市,玻璃陶瓷
1304,台灣聚合化學品股份有限公司,台聚,11917107,3,上市,塑膠工業
1229,聯華實業投資控股股份有限公司,聯華,11996904,2,上市,食品工業
1906,寶隆國際股份有限公司,寶隆,12030606,9,上市,造紙工業
5840,國際票券金融股份有限公司,國際票券,12100285,17,公開發行,金融保險
2468,華經資訊企業股份有限公司,華經,12115702,30,上市,資訊服務業
1725,元禎企業股份有限公司,元禎,12132033,21,上市,化學工業
6170,統振股份有限公司,統振,12135600,27,上櫃,通信網路業
8435,台灣鉅邁股份有限公司,鉅邁,12137902,20,上櫃,其他
9945,潤泰創新國際股份有限公司,潤泰新,12139612,20,上市,其他
5703,亞都麗緻大飯店股份有限公司,亞都麗緻,12144501,16,上櫃,觀光事業
9917,中興保全科技股份有限公司,中保科,12148598,20,上市,其他
1805,寶徠建設股份有限公司,寶徠,12179563,14,上市,建材營造
2904,匯僑股份有限公司,匯僑,12195466,20,上市,其他
2718,晶悅國際飯店股份有限公司,晶悅,12198180,14,上櫃,建材營造
2820,中華票券金融股份有限公司,華票,12198359,17,上市,金融保險
6139,亞翔工程股份有限公司,亞翔,12204275,31,上市,其他電子業
2323,中環股份有限公司,中環,12205020,26,上市,光電業
2429,銘旺科技股份有限公司,銘旺科,12206203,26,上市,光電業
2108,南帝化學工業股份有限公司,南帝,12209807,11,上市,橡膠工業
2414,精技電腦股份有限公司,精技,12215548,29,上市,電子通路業
6218,豪勉科技股份有限公司,豪勉,12223097,27,上櫃,通信網路業
2450,神腦國際企業股份有限公司,神腦,12228473,27,上市,通信網路業
1766,大連化學工業股份有限公司,大連化工,12233428,7,公開發行,化學生技醫療
2538,基泰建設股份有限公司,基泰,12251662,14,上市,建材營造
9925,台灣新光保全股份有限公司,新保,12261768,20,上市,其他
5353,台林電通股份有限公司,台林,12278439,27,上櫃,通信網路業
8436,大江生醫股份有限公司,大江,12292039,22,上櫃,生技醫療業
6215,和椿科技股份有限公司,和椿,12304443,31,上市,其他電子業
2542,興富發建設股份有限公司,興富發,12305479,14,上市,建材營造
4738,尚志精密化學股份有限公司,尚化,12306385,21,興櫃,化學工業
2485,兆赫電子股份有限公司,兆赫,12320400,27,上市,通信網路業
6282,康舒科技股份有限公司,康舒,12341051,28,上市,電子零組件業
5403,中菲電腦股份有限公司,中菲,12358067,30,上櫃,資訊服務業
8011,台通光電股份有限公司,台通,12362365,27,上市,通信網路業
2438,翔耀實業股份有限公司,翔耀,12364770,26,上市,光電業
8424,惠普股份有限公司,惠普,12371385,14,上櫃,建材營造
2547,日勝生活科技股份有限公司,日勝生,12373243,14,上市,建材營造
3466,德晉科技股份有限公司,德晉,12375925,27,上櫃,通信網路業
8383,千附實業股份有限公司,千附,12378253,31,上櫃,其他電子業
